date,P,T,Ti,Tp,Td,pop,P7,T7
2020-09-03,9579,199292,10.532692307692308,3.9510576923076925,264.4882692307692,67114995,6905.571428571428,158302.42857142858
2020-09-04,9975,214712,11.081442307692308,3.779519230769231,288.2905769230769,67114995,7257.857142857143,160670.85714285713
2020-09-05,3956,91376,4.310865384615385,3.5736538461538463,122.25826923076923,67114995,7400.857142857143,161885.0
2020-09-06,1399,27450,1.4226923076923077,3.8397115384615383,32.58423076923077,67114995,7427.0,162043.7142857143
2020-09-07,12100,240631,12.947596153846153,3.9511538461538462,314.28269230769234,67114995,7818.714285714285,165558.57142857142
2020-09-08,11528,238101,12.415961538461538,3.880288461538462,308.1144230769231,67114995,8214.285714285714,171964.14285714287
2020-09-09,11173,233892,11.954711538461538,3.8047115384615386,308.64,67114995,8530.0,177922.0
2020-09-10,11892,247414,13.382403846153846,4.100961538461538,326.62874999999997,67114995,8860.42857142857,184796.57142857142
2020-09-11,11114,256906,12.034615384615384,3.4387499999999998,344.9571153846154,67114995,9023.142857142857,190824.2857142857
2020-09-12,4407,100036,5.099134615384615,3.809134615384615,141.13,67114995,9087.57142857143,192061.42857142858
2020-09-13,1536,28316,1.5975000000000001,4.267788461538462,35.72605769230769,67114995,9107.142857142857,192185.14285714287
2020-09-14,14554,271220,15.896634615384615,4.293846153846154,361.4605769230769,67114995,9457.714285714286,196555.0
2020-09-15,13371,261743,14.567884615384616,4.0971153846153845,348.2320192307692,67114995,9721.0,199932.42857142858
2020-09-16,13278,243266,14.735865384615384,4.477211538461538,322.5557692307693,67114995,10021.714285714286,201271.57142857142
2020-09-17,13517,239601,14.639519230769231,4.525288461538461,316.4722115384615,67114995,10253.857142857143,200155.42857142858
2020-09-18,13081,239776,14.387980769230769,4.462596153846154,318.3160576923077,67114995,10534.857142857143,197708.2857142857
2020-09-19,5111,92310,5.466057692307692,4.577884615384615,123.90923076923076,67114995,10635.42857142857,196604.57142857142
2020-09-20,1758,28660,1.666346153846154,4.142403846153846,33.88269230769231,67114995,10667.142857142857,196653.7142857143
2020-09-21,15459,239147,17.64346153846154,5.299903846153847,317.61423076923074,67114995,10796.42857142857,192071.85714285713
2020-09-22,14069,215860,15.141634615384616,5.110769230769231,284.8782692307692,67114995,10896.142857142857,185517.14285714287
